"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461163006202522259_id.ret"
""
"Cadastrado título novo: 9000008655 3072 - BAKELS BRASIL INGRED 31/07/2025 RG 307,02 0"
"Pago título: 2500002402 5754 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 204,93 204,93"
"Pago título: 2500002414 7092 - VF 11 PALMAS DO PAIO 30/06/2025 LQ 202,2 202,2"
"Pago título: 2500002434 3856 - BRASPARK ADMINISTRAD 30/06/2025 LQ 201,02 201,02"
"Pago título: 2500002443 3098 - ASSOC DOS PROPR E MO 30/06/2025 LQ 239,48 239,48"
"Pago título: 2500002463 1774 - MINERACAO SAARA EXTR 30/06/2025 LQ 237,47 237,47"
"Pago título: 2500002468 4053 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 237,13 237,13"
"Pago título: 2500002478 875 - RICHARD KLINGER INDUS 30/06/2025 LQ 234,74 234,74"
"Pago título: 2500002498 3991 - HIGIBRAG TRANSPORTE 30/06/2025 LQ 234,23 234,23"
"Pago título: 2500002508 3615 - IMOBILIARIA HELVETIA 30/06/2025 LQ 234,22 234,22"
"Pago título: 2500002523 894 - DAUNE TRAVESSEIROS DE 30/06/2025 LQ 230,76 230,76"
"Pago título: 2500002548 4016 - ITA  AREIA COMERCIO 30/06/2025 LQ 228,34 228,34"
"Pago título: 2500002558 3774 - ASSOCIACAO DOS PROP 30/06/2025 LQ 226,47 226,47"
"Pago título: 2500002563 5352 - CONDOMINIO RESIDENCI 30/06/2025 LQ 225,43 225,43"
"Pago título: 2500002588 5773 - OWB INDUSTRIA DE AUT 30/06/2025 LQ 222,33 222,33"
"Pago título: 2500002598 7011 - JS ESPUMAS FLEXIVEIS 30/06/2025 LQ 221,17 221,17"
"Pago título: 2500002608 3484 - CLUBE RECREATIVO SAO 30/06/2025 LQ 219,59 219,59"
"Pago título: 2500002613 1832 - LANMAR INDUSTRIA MET 30/06/2025 LQ 219,32 219,32"
"Pago título: 2500002628 969 - PRALANA INDUSTRIA E C 30/06/2025 LQ 217,77 217,77"
"Pago título: 2500002633 4327 - CEETEPSCENTRO ESTADU 30/06/2025 LQ 216,64 216,64"
"Pago título: 2500002668 4910 - CARMEL PART E COMERC 30/06/2025 LQ 212,23 212,23"
"Pago título: 2500002688 7330 - LA VITA ALIMENTOS AG 30/06/2025 LQ 210,8 210,8"
"Pago título: 2500002693 4136 - STORAGE ADMINISTRACA 30/06/2025 LQ 210,8 210,8"
"Pago título: 2500002698 3729 - NP EMPREENDIMENTOS L 30/06/2025 LQ 210,8 210,8"
"Pago título: 2500002713 953 - MAHLE COMPRESSORES DO 30/06/2025 LQ 206,83 206,83"
"Pago título: 2500002743 155 - AUTO POSTO AMIGAO DA 30/06/2025 LQ 204,92 204,92"
"Pago título: 2500002748 3656 - FAZENDA TOZAN DO BRA 30/06/2025 LQ 204,95 204,95"
"Pago título: 2500002783 3259 - BAG CLEANER COMERCIO 30/06/2025 LQ 202,3 202,3"
"Pago título: 2500002788 153 - CONDOMINIO BOSQUE DOS 30/06/2025 LQ 201,07 201,07"
"Pago título: 2500002798 7749 - CONCREPAV PARTICIPAC 30/06/2025 LQ 200,22 200,22"
"Pago título: 2500002803 4135 - ALCEBIADES FERREIRA 30/06/2025 LQ 232,64 232,64"
"Pago título: 2500002809 391 - CONDOMINIO EDIFICIO E 30/06/2025 LQ 232,35 232,35"
"Pago título: 2500002821 997 - CEDASA INDUSTRIA E CO 30/06/2025 LQ 230,57 230,57"
"Pago título: 2500002833 1097 - TERRAR INDUSTRIA E C 30/06/2025 LQ 229,51 229,51"
"Pago título: 2500002851 521 - SPG PRINTS BRASIL LTD 30/06/2025 LQ 228,08 228,08"
"Pago título: 2500002863 2686 - BOM PEIXE INDUSTRIA 30/06/2025 LQ 226,77 226,77"
"Pago título: 2500002881 959 - ASK PRODUTOS QUIMICOS 30/06/2025 LQ 226,1 226,1"
"Pago título: 2500002893 7881 - MAG SAC EMBALAGENS L 30/06/2025 LQ 225,9 225,9"
"Pago título: 2500002917 1113 - PPC SANTANA EQUIPAME 30/06/2025 LQ 223,26 223,26"
"Pago título: 2500002941 2304 - LAZARO MELLO BRANDAO 30/06/2025 LQ 219,82 219,82"
"Pago título: 2500002947 2935 - CERAMICA ALMEIDA LTD 30/06/2025 LQ 219,73 219,73"
"Pago título: 2500002971 4840 - CIALENE INDUSTRIA E 30/06/2025 LQ 219,55 219,55"
"Pago título: 2500002977 3124 - BARREIRENSE PRODUTOS 30/06/2025 LQ 219,55 219,55"
"Pago título: 2500003007 3529 - TECELAGEM JOLITEX LT 30/06/2025 LQ 218,91 218,91"
"Pago título: 2500003013 1415 - DPV PRODUTOS QUIMICO 30/06/2025 LQ 218,61 218,61"
"Pago título: 2500003019 3594 - CPM CONCRETO DE PRE 30/06/2025 LQ 218,06 218,06"
"Pago título: 2500003043 3516 - JOSE JORGE BERARDINE 30/06/2025 LQ 214,67 214,67"
"Pago título: 2500003055 1323 - TEXTIL SUCCI LTDAME 30/06/2025 LQ 214,3 214,3"
"Pago título: 2500003067 2227 - COMSAPE EXTRACAO E C 30/06/2025 LQ 214,04 214,04"
"Pago título: 2500003073 1276 - INDUSTRIA E COMERCIO 30/06/2025 LQ 213,47 213,47"
"Pago título: 2500003079 186 - OBER SA INDUSTRIA E C 30/06/2025 LQ 213,23 213,23"
"Pago título: 2500003085 473 - TECELAGEM CHUAHY LTDA 30/06/2025 LQ 213,05 213,05"
"Pago título: 2500003103 1649 - CONDOMINIO CASA GRAN 30/06/2025 LQ 210,8 210,8"
"Pago título: 2500003115 1414 - CERVEJARIA ASHBY LTD 30/06/2025 LQ 210,04 210,04"
"Pago título: 2500003127 1558 - CONDOMINIO CHACARAS 30/06/2025 LQ 209,79 209,79"
"Pago título: 2500003133 135 - CONDOMINIO RESIDENCIA 30/06/2025 LQ 209,31 209,31"
"Pago título: 2500003175 1129 - CIA SANEAMENTO BASIC 30/06/2025 LQ 204,04 204,04"
"Pago título: 2500003181 1437 - CONDOMINIO EDIFICIO 30/06/2025 LQ 203,87 203,87"
"Pago título: 2500003187 2687 - ROTOCROM INDUSTRIA E 30/06/2025 LQ 203,78 203,78"
"Pago título: 2500003193 975 - BANN QUIMICA LTDA 30/06/2025 LQ 203,09 203,09"
"Pago título: 2500003217 5608 - ASSOCIACAO DE MORADO 30/06/2025 LQ 202 202"
"Pago título: 2500003266 898 - SERVICO MUNICIPAL DE 30/06/2025 LQ 190475,89 190475,89"
"Pago título: 2500003273 1078 - DAE SA AGUA E ESGOTO 30/06/2025 LQ 180593,22 180593,22"
"Pago título: 2500003287 882 - SERVICO AUTONOMO DE A 30/06/2025 LQ 99336,53 99336,53"
"Pago título: 2500003294 828 - SERVICO AUTONOMO DE A 30/06/2025 LQ 90651,96 90651,96"
"Pago título: 2500003315 1052 - DEPARTAMENTO DE AGUA 30/06/2025 LQ 65957,4 65957,4"
"Pago título: 2500003329 962 - SAO MARTINHO SA 30/06/2025 LQ 47111,03 47111,03"
"Pago título: 2500003330 962 - SAO MARTINHO SA 31/07/2025 LQ 47111,05 47111,05"
"Pago título: 2500003331 962 - SAO MARTINHO SA 29/08/2025 LQ 47111,05 47111,05"
"Pago título: 2500003332 962 - SAO MARTINHO SA 30/09/2025 LQ 47111,05 47111,05"
"Pago título: 2500003333 962 - SAO MARTINHO SA 31/10/2025 LQ 47111,05 47111,05"
"Pago título: 2500003334 962 - SAO MARTINHO SA 28/11/2025 LQ 47111,05 47111,05"
"Pago título: 2500003335 962 - SAO MARTINHO SA 19/12/2025 LQ 47111,05 47111,05"
"Pago título: 2500003336 919 - COMPANHIA DE DESENVOL 30/06/2025 LQ 46286,05 46286,05"
"Pago título: 2500003343 1132 - CIA SANEAMENTO BASIC 30/06/2025 LQ 41780,48 41780,48"
"Pago título: 2500003350 832 - SANEAMENTO BASICO VIN 30/06/2025 LQ 40824,14 40824,14"
"Pago título: 2500003357 831 - DEPARTAMENTO DE AGUAS 30/06/2025 LQ 37035,23 37035,23"
"Pago título: 2500003364 829 - SERVICO AUTONOMO DE A 30/06/2025 LQ 36133,64 36133,64"
"Pago título: 2500003371 986 - PREFEITURA MUNICIPAL 30/06/2025 LQ 30494,85 30494,85"
"Pago título: 2500003378 1065 - CIA SANEAMENTO BASIC 30/06/2025 LQ 27625,52 27625,52"
"Pago título: 2500003385 966 - SERVICO DE AGUA E ESG 30/06/2025 LQ 26118,22 26118,22"
"Pago título: 2500003399 1057 - CIA SANEAMENTO BASIC 30/06/2025 LQ 24579,17 24579,17"
"Pago título: 2500003413 487 - USINA ACUCAREIRA ESTE 30/06/2025 LQ 23558,5 23558,5"
"Pago título: 2500003420 867 - EUCATEX INDUSTRIA E C 30/06/2025 LQ 22500,15 22500,15"
"Pago título: 2500003427 1000 - CIA SANEAMENTO BASIC 30/06/2025 LQ 21606,85 21606,85"
"Pago título: 2500003434 1084 - SAAE  SANEAMENTO AMB 30/06/2025 LQ 21436,48 21436,48"
"Pago título: 2500003448 944 - PREFEITURA MUNICIPAL 30/06/2025 LQ 18177,92 18177,92"
"Pago título: 2500003455 4519 - IVO ZARZUR ADMINISTR 30/06/2025 LQ 14722,94 14722,94"
"Pago título: 2500003469 5261 - CIA DE SANEAMENTO BA 30/06/2025 LQ 14145,46 14145,46"
"Pago título: 2500003497 920 - ELEKEIROZ SA 30/06/2025 LQ 10194,05 10194,05"
"Pago título: 2500003504 1073 - CIA SANEAMENTO BASIC 30/06/2025 LQ 9948,82 9948,82"
"Pago título: 2500003518 1231 - COVOLAN INDUSTRIA TE 30/06/2025 LQ 9229,66 9229,66"
"Pago título: 2500003525 1112 - CIA SANEAMENTO BASIC 30/06/2025 LQ 9112,74 9112,74"
"Pago título: 2500003532 821 - PREFEITURA MUNICIPAL 30/06/2025 LQ 8795,05 8795,05"
"Pago título: 2500003533 821 - PREFEITURA MUNICIPAL 31/07/2025 LQ 8795,05 8795,05"
"Pago título: 2500003535 821 - PREFEITURA MUNICIPAL 30/09/2025 LQ 8795,05 8795,05"
"Pago título: 2500003536 821 - PREFEITURA MUNICIPAL 31/10/2025 LQ 8795,05 8795,05"
"Pago título: 2500003537 821 - PREFEITURA MUNICIPAL 28/11/2025 LQ 8795,05 8795,05"
"Pago título: 2500003538 821 - PREFEITURA MUNICIPAL 19/12/2025 LQ 8795,05 8795,05"
"Pago título: 2500003539 1058 - CIA SANEAMENTO BASIC 30/06/2025 LQ 8458,66 8458,66"
"Pago título: 2500003546 1123 - CIA SANEAMENTO BASIC 30/06/2025 LQ 8380,58 8380,58"
"Pago título: 2500003560 1066 - CIA SANEAMENTO BASIC 30/06/2025 LQ 7920,26 7920,26"
"Pago título: 2500003567 1484 - DELTA INDUSTRIA CERA 30/06/2025 LQ 7827,09 7827,09"
"Pago título: 2500003574 1110 - SERVICO AUTONOMO DE 30/06/2025 LQ 7567,09 7567,09"
"Pago título: 2500003581 1067 - CIA SANEAMENTO BASIC 30/06/2025 LQ 7360,68 7360,68"
"Pago título: 2500003588 5355 - CIA DE SANEAMENTO BA 30/06/2025 LQ 6692,47 6692,47"
"Pago título: 2500003595 845 - THYSSENKRUPP METALURG 30/06/2025 LQ 6427,51 6427,51"
"Pago título: 2500003602 1064 - CIA SANEAMENTO BASIC 30/06/2025 LQ 6305,26 6305,26"
"Pago título: 2500003616 856 - PREFEITURA MUNICIPAL 30/06/2025 LQ 6243,92 6243,92"
"Pago título: 2500003623 6490 - USINA IRB SA 30/06/2025 LQ 6188,43 6188,43"
"Pago título: 2500003630 5050 - CIA DE SANEAMENTO BA 30/06/2025 LQ 5875,09 5875,09"
"Pago título: 2500003658 868 - PREFEITURA MUNICIPAL 30/06/2025 LQ 4821,87 4821,87"
"Pago título: 2500003672 1060 - CIA SANEAMENTO BASIC 30/06/2025 LQ 4609,87 4609,87"
"Pago título: 2500003679 1070 - CIA SANEAMENTO BASIC 30/06/2025 LQ 4442,42 4442,42"
"Pago título: 2500003686 4481 - CLARIPEL INDUSTRIA D 30/06/2025 LQ 4398,07 4398,07"
"Pago título: 2500003693 839 - BUTILAMIL INDUSTRIAS 30/06/2025 LQ 4107,92 4107,92"
"Pago título: 2500003721 878 - PREFEITURA MUNICIPAL 30/06/2025 LQ 3757,76 3757,76"
"Pago título: 2500003735 891 - TIMAVO DO BRASIL SA I 30/06/2025 LQ 3680,31 3680,31"
"Pago título: 2500003756 500 - BIGNARDI IND E COM DE 30/06/2025 LQ 3228,25 3228,25"
"Pago título: 2500003763 1063 - CIA SANEAMENTO BASIC 30/06/2025 LQ 3143,8 3143,8"
"Pago título: 2500003770 2289 - ADVANCE INDUSTRIA TE 30/06/2025 LQ 2952,18 2952,18"
"Pago título: 2500003777 7745 - AGUAS DE TUIUTI SPE 30/06/2025 LQ 2899,88 2899,88"
"Pago título: 2500003784 3683 - NOVAPORCELANATO INDU 30/06/2025 LQ 2893,5 2893,5"
"Pago título: 2500003791 448 - INDUSTRIA DE PAPEL R 30/06/2025 LQ 2873,33 2873,33"
"Pago título: 2500003826 2497 - CARVALHEIRA INDUSTRI 30/06/2025 LQ 2796,54 2796,54"
"Pago título: 2500003840 7351 - COMPANHIA DE SANEAME 30/06/2025 LQ 2747,83 2747,83"
"Pago título: 2500003868 219 - ASK CRIOS PRODUTOS QU 30/06/2025 LQ 2510,07 2510,07"
"Pago título: 2500003875 1575 - SO AGUA COMERCIO E S 30/06/2025 LQ 2508,57 2508,57"
"Pago título: 2500003910 1128 - CIA SANEAMENTO BASIC 30/06/2025 LQ 2401,47 2401,47"
"Pago título: 2500003917 3384 - FRIGODELISS LTDA 30/06/2025 LQ 2345,12 2345,12"
"Pago título: 2500003938 1743 - EDSON CHINARELLI TRA 30/06/2025 LQ 2241,73 2241,73"
"Pago título: 2500003945 842 - REGIMAR COMERCIAL SA 30/06/2025 LQ 2236,82 2236,82"
"Pago título: 2500003952 476 - CLUBE DE CAMPO VALINH 30/06/2025 LQ 2234,92 2234,92"
"Pago título: 2500003966 5601 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 2216,67 2216,67"
"Pago título: 2500003973 7298 - J ANDRADE EMPREENDIM 30/06/2025 LQ 2196,66 2196,66"
"Pago título: 2500003980 1075 - TINTEX TINTURARIA TE 30/06/2025 LQ 2183,89 2183,89"
"Pago título: 2500003994 1054 - CIA SANEAMENTO BASIC 30/06/2025 LQ 2140,29 2140,29"
"Pago título: 2500004001 434 - KSPG AUTOMOTIVE BRAZI 30/06/2025 LQ 2137,28 2137,28"
"Pago título: 2500004002 434 - KSPG AUTOMOTIVE BRAZI 31/07/2025 LQ 2137,26 2137,26"
"Pago título: 2500004003 434 - KSPG AUTOMOTIVE BRAZI 29/08/2025 LQ 2137,26 2137,26"
"Pago título: 2500004004 434 - KSPG AUTOMOTIVE BRAZI 30/09/2025 LQ 2137,26 2137,26"
"Pago título: 2500004005 434 - KSPG AUTOMOTIVE BRAZI 31/10/2025 LQ 2137,26 2137,26"
"Pago título: 2500004006 434 - KSPG AUTOMOTIVE BRAZI 28/11/2025 LQ 2137,26 2137,26"
"Pago título: 2500004007 434 - KSPG AUTOMOTIVE BRAZI 19/12/2025 LQ 2137,26 2137,26"
"Pago título: 2500004008 3644 - IBG CRYO INDUSTRIA D 30/06/2025 LQ 2127,15 2127,15"
"Pago título: 2500004022 906 - TINTURARIA E ESTAMPAR 30/06/2025 LQ 2088,3 2088,3"
"Pago título: 2500004029 2861 - KORIN AGROPECUARIA L 30/06/2025 LQ 2063,56 2063,56"
"Pago título: 2500004050 2361 - TECELAGEM JOLITEX LT 30/06/2025 LQ 1961,25 1961,25"
"Pago título: 2500004057 26 - CERAMICA FORMIGRES LTD 30/06/2025 LQ 1956,83 1956,83"
"Pago título: 2500004092 895 - FRIGORIFICO ANGELELLI 30/06/2025 LQ 1840,98 1840,98"
"Pago título: 2500004099 1002 - CIA SANEAMENTO BASIC 30/06/2025 LQ 1833,5 1833,5"
"Pago título: 2500004106 3851 - USINA GRANELLI LTDA 30/06/2025 LQ 1821,32 1821,32"
"Pago título: 2500004113 1116 - CROWN EMBALAGENS MET 30/06/2025 LQ 1809,83 1809,83"
"Pago título: 2500004127 559 - BENEFICIADORA DE TECI 30/06/2025 LQ 1773,37 1773,37"
"Pago título: 2500004148 497 - ALCOOL FERREIRA SA 30/06/2025 LQ 1760,16 1760,16"
"Pago título: 2500004162 257 - PASTIFICIO SELMI SA 30/06/2025 LQ 1717,75 1717,75"
"Pago título: 2500004169 43 - CONDOMINIO RESIDENCIAL 30/06/2025 LQ 1693,87 1693,87"
"Pago título: 2500004176 246 - 3M DO BRASIL LTDA 30/06/2025 LQ 1678,75 1678,75"
"Pago título: 2500004183 7817 - DELTA INDUSTRIA CERA 30/06/2025 LQ 1673,46 1673,46"
"Pago título: 2500004197 357 - CONDOMINIO VILLE DE C 30/06/2025 LQ 1649,33 1649,33"
"Pago título: 2500004204 184 - TECELAGEM JOLITEX LTD 30/06/2025 LQ 1632,84 1632,84"
"Pago título: 2500004211 1055 - CARTONIFICIO VALINHO 30/06/2025 LQ 1582,45 1582,45"
"Pago título: 2500004232 1074 - CIA SANEAMENTO BASIC 30/06/2025 LQ 1529,65 1529,65"
"Pago título: 2500004260 1136 - VILLARES METALS SA 30/06/2025 LQ 1472,19 1472,19"
"Pago título: 2500004281 3196 - CEDASA INDUSTRIA E C 30/06/2025 LQ 1406,3 1406,3"
"Pago título: 2500004288 358 - ASSOCIACAO AMIGOS MAR 30/06/2025 LQ 1393,47 1393,47"
"Pago título: 2500004302 1809 - ASSOCIACAO RESIDENCI 30/06/2025 LQ 1384,07 1384,07"
"Pago título: 2500004316 3701 - ASSOCIACAO DE SOCIOS 30/06/2025 LQ 1380,18 1380,18"
"Pago título: 2500004323 371 - CONDOMINIO ITAEMBU 30/06/2025 LQ 1340,26 1340,26"
"Pago título: 2500004330 903 - MINASA TRADING INTERN 30/06/2025 LQ 1334,71 1334,71"
"Pago título: 2500004337 505 - ASSOCIACAO AMIGOS DO 30/06/2025 LQ 1280,54 1280,54"
"Pago título: 2500004365 886 - PROVIDER INDUSTRIA E 30/06/2025 LQ 1252,88 1252,88"
"Pago título: 2500004379 923 - EMS SA 30/06/2025 LQ 1248,6 1248,6"
"Pago título: 2500004400 507 - TINTURARIA UNIVERSO L 30/06/2025 LQ 1226,28 1226,28"
"Pago título: 2500004407 2740 - EUCATEX INDUSTRIA E 30/06/2025 LQ 1205,5 1205,5"
"Pago título: 2500004414 490 - SAINTGOBAIN DO BRASIL 30/06/2025 LQ 1189,88 1189,88"
"Pago título: 2500004421 1001 - CIA SANEAMENTO BASIC 30/06/2025 LQ 1179,35 1179,35"
"Pago título: 2500004428 2019 - BAERLOCHER DO BRASIL 30/06/2025 LQ 1176,25 1176,25"
"Pago título: 2500004435 7790 - BRAINFARMA INDUSTRIA 30/06/2025 LQ 1171,93 1171,93"
"Pago título: 2500004449 203 - TINTURARIA E ESTAMPAR 30/06/2025 LQ 1151,18 1151,18"
"Pago título: 2500004484 888 - INCOPISOS INDUSTRIA E 30/06/2025 LQ 1129,26 1129,26"
"Pago título: 2500004498 7373 - LEVISSIMA DISTRIBUIC 30/06/2025 LQ 1104,14 1104,14"
"Pago título: 2500004519 383 - EATON LTDA 30/06/2025 LQ 1083 1083"
"Pago título: 2500004547 1105 - RECAM RC LTDA 30/06/2025 LQ 1045,57 1045,57"
"Pago título: 2500004561 7813 - EMPREEND IMOB JARDIM 30/06/2025 LQ 1045,62 1045,62"
"Pago título: 2500004582 1004 - BRANYL COMERCIO E IN 30/06/2025 LQ 1028,21 1028,21"
"Pago título: 2500004645 480 - PAPIRUS INDUSTRIA DE 30/06/2025 LQ 964,73 964,73"
"Pago título: 2500004666 375 - CAPUAVA SA INDUSTRIA 30/06/2025 LQ 932,97 932,97"
"Pago título: 2500004687 2170 - ISOTERM INDUSTRIA E 30/06/2025 LQ 927,5 927,5"
"Pago título: 2500004701 917 - BMB BELGO MINEIRA BEK 30/06/2025 LQ 920,79 920,79"
"Pago título: 2500004708 312 - FIACAO ALPINA LTDA 30/06/2025 LQ 910,18 910,18"
"Pago título: 2500004715 7890 - ASSOC PROPRIET LOT V 30/06/2025 LQ 907,63 907,63"
"Pago título: 2500004743 939 - LEF PISOS E REVESTIME 30/06/2025 LQ 879,95 879,95"
"Pago título: 2500004750 1818 - MARLES INDUSTRIA TEX 30/06/2025 LQ 874,87 874,87"
"Pago título: 2500004771 7321 - COMPANHIA DE SANEAME 30/06/2025 LQ 853,18 853,18"
"Pago título: 2500004778 946 - HOTEL CAMPING ESTANCI 30/06/2025 LQ 853,18 853,18"
"Pago título: 2500004785 461 - JRM  PARTICIPACOES LT 30/06/2025 LQ 852,41 852,41"
"Pago título: 2500004792 1429 - ASSOCIACAO ADMINISTR 30/06/2025 LQ 849,03 849,03"
"Pago título: 2500004799 1592 - MICROSAL INDUSTRIA E 30/06/2025 LQ 848,63 848,63"
"Pago título: 2500004827 3622 - CONDOMINIO CAPELA DO 30/06/2025 LQ 838,14 838,14"
"Pago título: 2500004834 3449 - CERAMICA CARMELO FIO 30/06/2025 LQ 836,46 836,46"
"Pago título: 2500004869 7812 - TEXTIL OMBORGO LTDA 30/06/2025 LQ 823,17 823,17"
"Pago título: 2500004883 2752 - PREFEITURA DO MUNICI 30/06/2025 LQ 814,99 814,99"
"Pago título: 2500004911 909 - FLEX PARQUE EMPRESARI 30/06/2025 LQ 800,94 800,94"
"Pago título: 2500004939 7785 - VISTA VERDE CAPIVARI 30/06/2025 LQ 774,73 774,73"
"Pago título: 2500004946 2337 - CERAMICA CARMELO FIO 30/06/2025 LQ 759,39 759,39"
"Pago título: 2500004981 2910 - CHACARAS LONG ISLAND 30/06/2025 LQ 751,86 751,86"
"Pago título: 2500004988 2175 - INDUSTRIA E COMERCIO 30/06/2025 LQ 751,06 751,06"
"Pago título: 2500005023 324 - DEDINI SA INDUSTRIAS 30/06/2025 LQ 735,94 735,94"
"Pago título: 2500005051 7707 - SORVETES JUNDIA INDU 30/06/2025 LQ 726,33 726,33"
"Pago título: 2500005065 390 - TOYOBO DO BRASIL LTDA 30/06/2025 LQ 721,38 721,38"
"Pago título: 2500005121 7908 - FUNDACAO ANTONIO ANT 30/06/2025 LQ 678,44 678,44"
"Pago título: 2500005135 2284 - AGUA VIDA TRANSPORTE 30/06/2025 LQ 669,19 669,19"
"Pago título: 2500005149 111 - ASSOCIACAO MORADORES 30/06/2025 LQ 669,18 669,18"
"Pago título: 2500005177 4786 - SEARA ALIMENTOS LTDA 30/06/2025 LQ 648,25 648,25"
"Pago título: 2500005184 455 - TBK MINERACAO LTDA 30/06/2025 LQ 647,04 647,04"
"Pago título: 2500005191 52 - ASSOCIACAO DOS PROPRIE 30/06/2025 LQ 643,05 643,05"
"Pago título: 2500005198 3262 - ASSOCIACAO DE AMIGOS 30/06/2025 LQ 642,91 642,91"
"Pago título: 2500005247 356 - ESTANCIA ARVORE DA VI 30/06/2025 LQ 634,44 634,44"
"Pago título: 2500005254 25 - EXTRACAO E COMERCIO DE 30/06/2025 LQ 632,28 632,28"
"Pago título: 2500005275 5168 - NEWPOP INDUSTRIA QUI 30/06/2025 LQ 627,34 627,34"
"Pago título: 2500005282 7809 - FONTE CIDADE AZUL DE 30/06/2025 LQ 626,32 626,32"
"Pago título: 2500005303 1139 - HOPI HARI SA 30/06/2025 LQ 617,91 617,91"
"Pago título: 2500005359 3491 - H2ORA DISTRIBUIDORA 30/06/2025 LQ 606,31 606,31"
"Pago título: 2500005366 477 - TERRA DO PARAISO LTDA 30/06/2025 LQ 602,28 602,28"
"Pago título: 2500005380 1479 - MEAT SNACK PARTNERS 30/06/2025 LQ 594,46 594,46"
"Pago título: 2500005401 2655 - JOAO CARLOS LEME RIB 30/06/2025 LQ 589 589"
"Pago título: 2500005415 2464 - SPARTAN DO BRASIL PR 30/06/2025 LQ 586,81 586,81"
"Pago título: 2500005464 2474 - DE MARCHI INDUSTRIA 30/06/2025 LQ 573,22 573,22"
"Pago título: 2500005471 7898 - GODOI AGUA E POCOS E 30/06/2025 LQ 572,02 572,02"
"Pago título: 2500005513 2074 - SALTORELLI TINTURARI 30/06/2025 LQ 551,74 551,74"
"Pago título: 2500005520 5560 - WT NEGOCIOS IMOBILIA 30/06/2025 LQ 550,4 550,4"
"Pago título: 2500005527 34 - CONDOMINIO BOUGAINVILL 30/06/2025 LQ 548,97 548,97"
"Pago título: 2500005534 2748 - QUALITY BENEFICIADOR 30/06/2025 LQ 545,34 545,34"
"Pago título: 2500005541 2348 - RAUL FERREIRA LEITE 30/06/2025 LQ 543,71 543,71"
"Pago título: 2500005548 4116 - TARTALIA EMPREENDIME 30/06/2025 LQ 543,7 543,7"
"Pago título: 2500005562 7916 - CORR PLASTIK SISTEMA 30/06/2025 LQ 542,96 542,96"
"Pago título: 2500005569 4288 - PTM AGRICOLA E PARTI 30/06/2025 LQ 539,17 539,17"
"Pago título: 2500005583 2889 - I  M PAPEIS E EMBALA 30/06/2025 LQ 529,66 529,66"
"Pago título: 2500005597 1689 - AJINOMOTO DO BRASIL 30/06/2025 LQ 522,83 522,83"
"Pago título: 2500005618 142 - SOCIEDADE DE MELHORAM 30/06/2025 LQ 519,87 519,87"
"Pago título: 2500005625 5418 - SAMUEL SAMPAIO TOCAL 30/06/2025 LQ 517,82 517,82"
"Pago título: 2500005632 1274 - GUAINUMBY TEXTIL LTD 30/06/2025 LQ 517,52 517,52"
"Pago título: 2500005646 24 - ASSOCIACAO DOS PROPRIE 30/06/2025 LQ 515,72 515,72"
"Pago título: 2500005653 163 - SABARA QUIMICOS E ING 30/06/2025 LQ 513,95 513,95"
"Pago título: 2500005660 2952 - EXTRACAO E COMERCIO 30/06/2025 LQ 509,07 509,07"
"Pago título: 2500005688 3637 - PICOLI  CARRARA COME 30/06/2025 LQ 501,86 501,86"
"Pago título: 2500005695 297 - CERAMICA CRISTOFOLETT 30/06/2025 LQ 501,86 501,86"
"Pago título: 2500005716 4862 - PSS DE CAMARGO SERVI 30/06/2025 LQ 501,86 501,86"
"Pago título: 2500005744 1750 - PREFEITURA MUNICIPAL 30/06/2025 LQ 492,75 492,75"
"Pago título: 2500005751 1050 - CIA SANEAMENTO BASIC 30/06/2025 LQ 492,63 492,63"
"Pago título: 2500005758 3992 - HOTEL FAZENDA HARAS 30/06/2025 LQ 489,33 489,33"
"Pago título: 2500005772 3666 - RAUL FERREIRA LEITE 30/06/2025 LQ 480,99 480,99"
"Pago título: 2500005786 3365 - MALIBER INDUSTRIA E 30/06/2025 LQ 476,24 476,24"
"Pago título: 2500005821 4361 - RAUL FERREIRA LEITE 30/06/2025 LQ 460,07 460,07"
"Pago título: 2500005835 3590 - AGUA DO CAMPO TRANSP 30/06/2025 LQ 457,39 457,39"
"Pago título: 2500005849 1547 - SOCER BRASIL INDUSTR 30/06/2025 LQ 450,83 450,83"
"Pago título: 2500005912 1618 - NAZATO PIRACICABA TR 30/06/2025 LQ 437,44 437,44"
"Pago título: 2500005919 7764 - ASSOCIACAO BUSINESS 30/06/2025 LQ 431,82 431,82"
"Pago título: 2500005933 4779 - FUNDACAO CENTRO DE A 30/06/2025 LQ 429,53 429,53"
"Pago título: 2500005961 7841 - COND CIVIL VOLUNTARI 30/06/2025 LQ 423,18 423,18"
"Pago título: 2500005968 1091 - DEPARTAMENTO DE AGUA 30/06/2025 LQ 422,36 422,36"
"Pago título: 2500005982 1692 - LALLEMAND SOLUCOES B 30/06/2025 LQ 418,84 418,84"
"Pago título: 2500005996 63 - ZERMATT EMPREENDIMENTO 30/06/2025 LQ 418,23 418,23"
"Pago título: 2500006031 4631 - AGROPECUARIA CAPUAVA 30/06/2025 LQ 418,23 418,23"
