"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462042908202522354_id.ret"
""
"Cadastrado título novo: 9000008836 293 - OMAMORI INDUSTRIA DE 30/09/2025 RG 3454,85 0"
"Cadastrado título novo: 9000008837 932 - GREMIO RECR EMPREGADO 30/09/2025 RG 209,98 0"
"Cadastrado título novo: 9000008838 932 - GREMIO RECR EMPREGADO 31/10/2025 RG 209,98 0"
"Cadastrado título novo: 9000008839 932 - GREMIO RECR EMPREGADO 28/11/2025 RG 209,98 0"
"Cadastrado título novo: 9000008840 932 - GREMIO RECR EMPREGADO 31/12/2025 RG 209,98 0"
"Pago título: 2500008056 3271 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 200,75 200,75"
"Pago título: 9000008528 3644 - IBG CRYO INDUSTRIA D 29/08/2025 LQ 900,88 900,88"
"Pago título: 9000008593 7917 - SONDA SUPERMERCADOS 29/08/2025 LQ 213,59 213,59"
"Pago título: 9000008596 826 - DEPARTAMENTO AUTONOMO 29/08/2025 LQ 90000 90000"
"Pago título: 9000008614 2901 - AGUA RICA LTDA 29/08/2025 LQ 517,22 517,22"
"Pago título: 9000008631 5608 - ASSOCIACAO DE MORADO 29/08/2025 LQ 271,76 271,76"
"Pago título: 9000008670 3696 - AGUAS DE CAMPINAS TR 29/08/2025 LQ 705,09 705,09"
"Pago título: 9000008674 1702 - TECNOLITE PRODUTOS T 29/08/2025 LQ 543,22 543,22"
"Pago título: 9000008685 4134 - CONDOMINIO RESIDENCI 29/08/2025 LQ 294,56 294,56"
"Pago título: 9000008707 96 - TAGMA BRASIL INDUSTRIA 29/08/2025 LQ 2435,07 2435,07"
"Pago título: 9000008708 96 - TAGMA BRASIL INDUSTRIA 29/08/2025 LQ 1625,74 1625,74"
"Pago título: 9000008730 1660 - CCL INDUSTRIES DO BR 29/08/2025 LQ 431,25 431,25"
"Pago título: 9000008737 5627 - SANCETUR - SANTA CEC 29/08/2025 LQ 283,53 283,53"
"Pago título: 9000008744 225 - AMPARO ATHLETICO CLUB 29/08/2025 LQ 240,65 240,65"
"Pago título: 9000008749 3625 - ANODICAMP - INDUSTRI 29/08/2025 LQ 346,92 346,92"
"Pago título: 9000008757 7918 - CONDOMINIO VIDA NOVA 29/08/2025 LQ 219,57 219,57"
"Pago título: 9000008761 3727 - INDUSTRIA DE BEBIDAS 29/08/2025 LQ 147,01 147,01"
"Pago título: 9000008764 7715 - CHT BRASIL QUIMICA L 29/08/2025 LQ 334,7 334,7"
"Pago título: 9000008771 380 - CLUBE ATLETICO PIRACI 29/08/2025 LQ 364,67 364,67"
"Pago título: 9000008779 237 - IPLASA - INDUSTRIA E 29/08/2025 LQ 1039,24 1039,24"
"Pago título: 9000008781 7226 - ASSOCIACAO DE MORADO 29/08/2025 LQ 2180,28 2180,28"
"Pago título: 9000008788 1633 - ASSOCIACAO DOS MORAD 30/09/2025 LQ 1446,05 1446,05"
"Pago título: 9000008812 5234 - VALICON SERVICOS PAR 29/08/2025 LQ 761,55 761,55"
"Pago título: 9000008820 583 - HOTEL BOURBON DE FOZ 29/08/2025 LQ 9661,79 9661,79"
"Pago título: 9000008825 2469 - RICLAN S/A 29/08/2025 LQ 718,49 718,49"
"Pago título: 9000008826 1652 - RICLAN S/A 29/08/2025 LQ 843,4 843,4"
"ERRO! Operação desconhecida: 9000008833 2032 - SEW - EURODRIVE BRAS 30/09/2025 CB 777,21 0"
"ERRO! Operação desconhecida: 9000008833 2032 - SEW - EURODRIVE BRAS 30/09/2025 EN 777,21 0"
"Ignorado cancelamento automático título: 2500000948 225 - AMPARO ATHLETICO CLUB 25/07/2025 BX 137,36 0"
"Ignorado cancelamento automático título: 9000008684 1089 - PIRELLI PNEUS S/A 25/07/2025 BX 25380,01 0"
